Student ID,CGPA
2400031824,9.49
2400032278,9.45
2400032656,9.45
2400032174,9.44
2400030254,9.42
2400032130,9.42
2400032413,9.42
2400031861,9.4
2400032303,9.4
2400030493,9.37
2400031765,9.37
2400030546,9.35
2400030572,9.35
2400031665,9.33
2400032240,9.33
2400032375,9.32
2400030026,9.3
2400032175,9.3
2400030617,9.33
2400031378,9.28
2400030447,9.27
2400030460,9.27
2400030389,9.26
2400030766,9.26
2400031451,9.25
2400031860,9.25
2400030262,9.23
2400030316,9.23
2400033231,9.23
2400030761,9.22
2400031468,9.21
2400032184,9.21
2400030720,9.19
2400031658,9.19
2400032364,9.17
2400032402,9.17
2400030221,9.16
2400030230,9.16
2400033008,9.16
2400030193,9.15
2400031720,9.15
2400031810,9.15
2400030384,9.14
2400030644,9.14
2400030293,9.12
2400030365,9.12
2400031104,9.12
2400031299,9.12
2400032804,9.12
2400032918,8.96
2400032007,9.1
2400031639,9.09
2400032065,9.09
2400030179,9.07
2400030245,9.07
2400032137,9.07
2400032268,9.07
2400032815,9.07
2400032998,9.07
2400030707,9.05
2400030804,9.05
2400030545,9.02
2400030605,9.02
2400031618,9.02
2400031711,9.02
2400032646,9.02
2400032654,9.02
2400030122,9
2400030366,9
2400031624,9
2400031758,9
2400032462,9
2400032645,9
2400033294,9
2400033299,9
2400030798,8.98
2400030857,8.98
2400032068,8.98
2400032161,8.98
2400033156,8.98
2400033172,8.98
2400031587,8.97
2400031722,8.97
2400031041,8.95
2400031842,8.95
2400032415,8.95
2400032805,8.95
2400030201,8.93
2400030521,8.93
2400031323,8.93
2400031419,8.93
2400032659,8.93
2400032701,8.93
2400031478,8.92
2400031649,8.92
2400033371,8.93
2400030289,8.91
2400032884,8.91
2400032993,8.91
2400031973,8.9
2400032928,8.35
2400031350,8.88
2400031386,8.88
2400032796,8.92
2400030783,8.86
2400031241,8.86
2400032293,8.86
2400032403,8.86
2400030111,8.85
2400030265,8.85
2400031875,8.85
2400032732,8.85
2400031066,8.84
2400031563,8.84
2400032594,8.84
2400032667,8.84
2400031553,8.82
2400031634,8.82
2400032372,8.82
2400032524,8.82
2400031392,8.81
2400032671,8.81
2400030003,8.8
2400030036,8.8
2400031318,8.8
2400032946,8.8
2400032969,8.8
2400031257,8.79
2400031516,8.79
2400031921,8.79
2400032397,8.79
2400031858,8.78
2400030045,8.77
2400030711,8.77
2400030966,8.77
2400031330,8.77
2400031666,8.77
2400032177,8.77
2400032602,8.77
2400030422,8.75
2400030691,8.75
2400032567,8.75
2400032983,8.75
2400031047,8.74
2400031099,8.74
2400032556,8.74
2400032757,8.74
2400030438,8.72
